smiles,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.088081576,0.614498556,9.70E-06,0.963424027,0.144095421,0.02683212,0.434826195,0.00054792,0.992923141,2.35E-06,0.001333245,0.999501348,3.70E-05,1.27E-07,0.395070523,0.025667325,0.989767253,5.15E-05,0.991444945,0.586842656,0.053863447,0.876088262,2.83E-05,0.004927058,0.191886991,0.957691669,0.539231122
C(COCCOCCOCCOCCOCCOCCOCCO)O,0.094800107,0.604682624,8.68E-06,0.982126892,0.177496105,0.020237647,0.390185386,0.000684635,0.993772089,1.97E-06,0.001823293,0.999668479,4.38E-05,8.78E-08,0.526857853,0.028988656,0.991577029,3.84E-05,0.995633066,0.601859391,0.052495722,0.938179672,3.08E-05,0.005275158,0.143865675,0.974241495,0.573273361
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.089362301,0.613313317,9.38E-06,0.970841467,0.152259335,0.024481766,0.420848757,0.000589796,0.993179083,2.23E-06,0.001470123,0.999561012,3.92E-05,1.14E-07,0.43614468,0.026822647,0.990316749,4.70E-05,0.99304527,0.590166748,0.053302128,0.89880991,2.90E-05,0.004989837,0.176155478,0.963441372,0.549285114
C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,0.091363601,0.60999763,9.01E-06,0.976900101,0.163066462,0.022155756,0.406151593,0.000636651,0.9934237,2.12E-06,0.001629735,0.999617815,4.16E-05,1.02E-07,0.480666876,0.027939413,0.990904272,4.23E-05,0.994449735,0.594154775,0.052902997,0.919412255,2.98E-05,0.005074432,0.159840062,0.968905091,0.55950582
C(COCCOCCOCCOCCOCCOCCO)O,0.100963295,0.601147413,8.23E-06,0.98635304,0.195114166,0.018503137,0.379555851,0.000746857,0.99419266,1.82E-06,0.002019312,0.999713123,4.61E-05,7.40E-08,0.581019461,0.029376794,0.992131054,3.52E-05,0.996539116,0.610624433,0.052729845,0.953487456,3.15E-05,0.005613782,0.128357366,0.978983283,0.588962734
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.078220002,0.598145485,1.07E-05,0.917761385,0.125876591,0.036791395,0.498031169,0.000451605,0.992014408,2.89E-06,0.000907274,0.99926132,3.16E-05,1.94E-07,0.284030765,0.021350693,0.988401353,7.09E-05,0.982998669,0.571625471,0.05733107,0.766558528,2.52E-05,0.004821787,0.238766879,0.934161127,0.492668778
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.089362301,0.613313317,9.38E-06,0.970841467,0.152259335,0.024481766,0.420848757,0.000589796,0.993179083,2.23E-06,0.001470123,0.999561012,3.92E-05,1.14E-07,0.43614468,0.026822647,0.990316749,4.70E-05,0.99304527,0.590166748,0.053302128,0.89880991,2.90E-05,0.004989837,0.176155478,0.963441372,0.549285114
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.078220002,0.598145485,1.07E-05,0.917761385,0.125876591,0.036791395,0.498031169,0.000451605,0.992014408,2.89E-06,0.000907274,0.99926132,3.16E-05,1.94E-07,0.284030765,0.021350693,0.988401353,7.09E-05,0.982998669,0.571625471,0.05733107,0.766558528,2.52E-05,0.004821787,0.238766879,0.934161127,0.492668778
C(COCCOCCOCCOCCOCCO)O,0.10970857,0.595638633,7.66E-06,0.989644408,0.213036358,0.016935978,0.376376212,0.00081769,0.994560659,1.72E-06,0.002255741,0.999753296,4.88E-05,6.31E-08,0.641839445,0.02963642,0.992404163,3.28E-05,0.997274458,0.622865796,0.053581625,0.966057301,3.17E-05,0.006185315,0.110463023,0.983151793,0.606322765
CC1(CC(CC(N1)(C)C)O)C,0.90230912,0.998759627,0.001213508,0.910076261,0.99895215,0.991971731,0.999955893,0.354167432,0.945583642,0.150691047,0.119098604,0.999999881,0.083056077,0.000486844,0.999954104,0.925125897,0.998941004,0.014328354,0.12893039,0.999981642,0.988353193,0.998315215,0.318033695,0.572285771,0.842528224,0.999992847,0.995040238
COCCOCCOCCOCCOCCO,0.858117402,0.946781397,0.000895375,0.899386346,0.909183502,0.718898594,0.660018325,0.014200827,0.63689661,0.000396475,0.01036236,0.999830604,0.007035007,0.000119007,0.828395784,0.430659443,0.624738514,0.004743425,0.942848206,0.937624991,0.778050721,0.905848086,0.002022873,0.119604595,0.674905777,0.977983654,0.688161552
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.014370019,0.417002857,3.29E-06,0.544100881,0.215866715,0.049703289,0.57164073,0.000325085,0.993486524,6.30E-07,0.000505718,0.999214768,1.15E-05,1.46E-07,0.054474264,0.004953396,0.990370929,2.24E-05,0.987282634,0.618879735,0.009829712,0.22522375,5.96E-06,0.000990249,0.214450255,0.710256159,0.134137526
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.086281613,0.613346517,9.97E-06,0.954038858,0.138216019,0.029204894,0.448841661,0.000517293,0.992669702,2.49E-06,0.001209353,0.999441445,3.50E-05,1.42E-07,0.360535949,0.024659377,0.989352167,5.56E-05,0.989665747,0.582034588,0.054475971,0.850894809,2.75E-05,0.00488949,0.205475017,0.95187223,0.527052701
C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0.081074178,0.604245126,1.05E-05,0.931250513,0.129234701,0.034223862,0.481383383,0.000470789,0.992233992,2.76E-06,0.00099702,0.999321342,3.25E-05,1.75E-07,0.306049734,0.022484835,0.988682389,6.53E-05,0.985482454,0.574625731,0.056386415,0.795845807,2.58E-05,0.004833225,0.228391975,0.940153301,0.504447222
,2,13,0,14,2,2,3,0,14,0,0,14,0,0,5,1,14,0,13,14,2,13,0,1,2,14,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_0,2,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_1,13,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_3,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_4,2,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_5,2,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_6,3,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_8,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_11,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_14,5,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_15,1,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_16,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_18,13,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_19,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_20,2,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_21,13,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_23,1,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_24,2,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_25,14,,,,,,,,,,,,,,,,,,,,,,,,,
,pred_26,11,,,,,,,,,,,,,,,,,,,,,,,,,
